#pgII [uA] data read from database by pab Ltd "mountain"
#see http://bsdf.pab.eu for pgII gonio-photometer and BSDF details
#mountain-version	"pab mountain V3.2.3"
#database-host	pgdb
#database-name	pabpg
#measured_at	"2017-05-29 12:52:19"
#data_read_from_db	"2018-08-23 11:02:46"
#database_id	48
#datapoints_in_db	249345
#database_reference_id	0
#integrated_value	0.018	6.3
#sample_label	"iri_flake_paper"
#sample_name	"Iridescent_flake_paper"
#lamp	"Halogen_12V"
#beamshape	"det,f=300,a=1"
#filterlamp	"IRcutoff"
#filterdet	"none"
#comment	"(null)"
#mcomment	"$Id: do_meas_batch.c,v 1.34 2014/02/05 12:16:00 apian Exp apian $daq serial[0]="007" (channel minimum)|autochanger5 place=1|optfile=epfl-ultrafine|userdata=$Header: /usr/local/pab_pg/etc/RCS/userdata.pgII-epfl,v 1.11 2017/05/26 15:43:23 pgadmin Exp pgadmin $|cxtcounter=yes|bl_armB=0|daq_ss=100|speedbend=(0,0)|pawait=30|minspacing=-1|lamp_cycles=4 poweron=516 [h] last_change=63 [min]"
#dbfilter	""
#column	daq
#dump-host	pgII-epfl
#incident_angle	30	0
#intheta	30
#inphi	0
#front_integral	0.0175
#incident_and_front_integral	30	0	0.0175
#mountain_minimum_angle	0.0014 [deg]
#datapoints_in_file	249290
#format: theta	phi	[uA]
56.9211  3.31536  0.0053699
60.0832  3.15984  0.0366164
45.3259  2.97898  0.0419386
85.0075  3.27763  0.0461491
85.3305  3.31084  0.0440716
73.1897  177.173  0.0409651
84.0444  3.91567  0.0505
54.466  3.7002  0.00284961
64.9369  3.40855  0.03495
69.5829  3.38434  0.0387118
83.189  3.43326  0.0432517
74.7047  2.98  0.043565
21.7354  5.157  0.0397003
21.1609  5.78165  0.0514876
80.7691  4.06291  0.0559493
21.8733  5.94638  0.0514521
21.8733  5.94638  0.0526004
21.7351  7.7376  0.0568291
33.992  5.92892  0.0560828
36.8306  175.298  0.0563933
36.8851  175.328  0.0557958
36.9396  175.357  0.0574236
36.7762  175.269  0.0557758
36.8306  175.298  0.0523497
59.0155  4.05743  0.00389973
52.0984  4.02703  0.0183464
60.2057  3.69111  0.0359892
73.7191  3.5251  0.0402509
61.2799  3.40503  0.0394231
44.9521  4.54779  0.0410316
22.5115  5.08851  0.0384356
48.7622  4.6618  0.0532703
72.6824  4.1418  0.0532665
75.2956  4.12981  0.0525814
75.242  4.11076  0.0530138
57.7537  4.37434  0.058783
22.8594  6.62878  0.0576107
40.4846  4.40586  0.0541536
30.1849  5.2877  0.0567811
25.6627  6.76486  0.0579495
25.7402  7.34212  0.0523497
25.1879  8.84632  0.0536462
37.1032  175.444  0.055047
37.1579  175.472  0.0553275
37.2125  175.501  0.0540336
37.2672  175.53  0.0526845
37.3219  175.559  0.05544
36.1252  174.914  0.00515988
53.0249  4.37412  0.0212743
69.7708  3.84495  0.0378042
45.0606  4.14346  0.0410787
46.9131  4.8186  0.039917
19.859  4.68696  0.0371709
24.1358  4.74393  0.0459725
72.0537  4.14645  0.0526473
82.5314  4.21127  0.052684
66.8869  4.20781  0.052497
66.7788  4.1705  0.0558007
39.2011  5.09976  0.0523906
45.3503  4.40243  0.0514573
26.7171  6.0245  0.0539843
29.4691  4.79954  0.0585569
27.5713  6.11917  0.0517557
67.6216  0.0245882  0.0522719
31.9973  6.29627  0.0569278
45.6523  4.09392  0.0548456
45.5967  4.07677  0.0541623
33.651  5.51929  0.0576643
33.7478  5.7767  0.0573082
37.3766  175.587  0.0581303
37.4313  175.616  0.0504944
37.4861  175.644  0.0527259
37.5409  175.673  0.0559573
37.5958  175.701  0.0542638
78.1786  3.85639  0.0325974
43.7539  4.56771  0.0393196
15.464  1.12592  0.0375863
28.8779  5.64858  0.0372763
42.672  4.61854  0.0489957
32.7969  4.82513  0.0510995
31.1383  4.89923  0.0486803
68.7334  4.09093  0.0493965
68.6794  4.07266  0.0550808
79.8962  4.17204  0.0593763
71.8784  4.17261  0.0530128
47.7031  4.17294  0.0545836
36.3634  4.1177  0.0580507
28.482  5.08902  0.0576517
26.2676  6.93687  0.0524703
26.9971  7.42175  0.0516769
41.1992  5.02261  0.055496
63.7099  3.63444  0.0541459
63.6551  3.61749  0.0510264
37.8772  4.56436  0.0569565
34.2992  5.49796  0.0600878
39.8295  5.12251  0.0599294
35.8518  5.84349  0.0508905
50.7487  4.05763  0.0565303
44.6912  4.22321  0.0559573
40.9929  4.45092  0.0500055
34.8495  5.35496  0.0532862
37.6281  4.86047  0.057548
37.5723  4.84027  0.057778
36.5282  5.01645  0.0562581
40.3193  3.79651  0.0516107
37.4119  3.95525  0.0545911
84.4299  3.93773  0.0227383
37.9881  5.49125  0.0415961
36.7751  5.22265  0.0401196
58.6828  4.2536  0.0367493
79.3302  3.90936  0.0446173
56.97  4.08745  0.0515123
43.7317  4.30135  0.052376
61.6802  3.92805  0.0516702
61.6802  3.92805  0.0516872
55.799  4.19476  0.0549583
78.6311  3.84263  0.0506277
38.9531  4.41064  0.0516869
36.3002  3.84256  0.0570384
35.1921  3.97948  0.0581503
33.0347  4.94458  0.0526686
26.1298  7.93494  0.0558028
44.1634  4.51579  0.0555454
40.0131  5.02099  0.0537577
39.9576  5.0011  0.0524498
39.8008  4.70844  0.0572598
30.1757  7.31198  0.0568309
32.6467  6.31418  0.0519796
48.3862  4.15481  0.0558475
49.1668  3.58254  0.0575248
46.4468  3.86351  0.0521857
30.4203  6.28931  0.0541862
36.8464  4.34801  0.0558463
36.7903  4.33  0.0535222
34.9246  4.34496  0.050028
37.5303  3.54373  0.056395
37.0756  3.70897  0.0565779
35.8345  3.85181  0.0543662
30.5326  4.08945  0.0541606
30.165  4.05807  0.0576851
30.0521  3.95022  0.0568391
29.8064  4.00745  0.0574035
38.2559  176.037  0.0585495
38.3111  176.065  0.0582272
38.3663  176.092  0.0556164
38.2008  176.009  0.0538911
38.2559  176.037  0
86.0386  3.70009  0.0419436
67.1115  3.94367  0.0388572
80.4535  3.80772  0.047432
72.8288  3.80433  0.052441
74.7567  3.93167  0.0509388
38.6378  4.28533  0.0514635
38.582  4.26961  0.0559035
79.4626  4.02245  0.0554843
65.5604  3.7284  0.0510425
35.3222  4.59647  0.0536846
51.2335  3.02604  0.0574433
51.0635  2.76017  0.057153
60.4854  2.67018  0.0544537
46.5232  3.95447  0.0563142
29.487  6.43082  0.0560452
31.2967  5.91303  0.0544658
31.2409  5.89208  0.0521523
33.9234  5.10112  0.0599886
32.2874  5.9929  0.0580303
29.3796  7.53156  0.0526727
33.0185  5.67784  0.0526307
52.6196  3.92896  0.0592618
42.7033  4.12358  0.0592882
39.7652  4.5843  0.0523839
32.468  5.92322  0.0526861
37.3958  4.37207  0.0567472
37.3397  4.35383  0.0551435
38.6706  3.58633  0.052501
44.471  2.85823  0.0558953
35.3581  3.70543  0.0580888
46.9457  2.83341  0.0534407
33.8851  3.73262  0.0583981
38.0628  3.13501  0.0569357
31.0924  3.48565  0.0555915
30.1854  3.75511  0.0581901
28.8212  4.6941  0.0598198
28.7646  4.67532  0.0575532
39.6793  3.59148  0.05606
45.3036  3.12413  0.050748
41.1455  3.33745  0.0583106
38.5321  176.174  0.0565828
38.5874  176.202  0.0542306
38.6428  176.229  0.0544061
38.6981  176.256  0.0558631
38.5321  176.174  0
85.7627  3.83202  0.0239931
85.4973  3.76307  0.0345579
68.5917  4.01517  0.0384093
45.258  4.25668  0.0415383
69.6338  3.85184  0.0497255
